"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"KLO","KINGSLAND GLOBAL LTD","2015-12-11","Real Estate","N/A"
"KLR","KAILI RESOURCES LIMITED","1997-03-06","Energy",3979810
"KMD","KATHMANDU HOLDINGS LIMITED","2009-11-13","Retailing",942971841
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","2003-08-15","Consumer Services",59530037
"KMT","KOPORE METALS LIMITED","2011-07-01","Materials",14198556
"KNB","KOONENBERRY GOLD LIMITED",,"Materials",0
"KNH","KOON HOLDINGS LIMITED","2003-07-11","Capital Goods","N/A"
"KNI","KUNIKO LIMITED","2021-08-24","Materials",171773012
"KNM","KNEOMEDIA LIMITED","1987-06-24","Media & Entertainment",16450200
"KNO","KNOSYS LIMITED","2015-09-09","Software & Services",30050111
"KOR","KORAB RESOURCES LIMITED","2005-08-31","Materials",5652381
"KOV","KORVEST LTD","1970-09-17","Capital Goods",64653204
"KP2","KORE POTASH PLC","2017-11-07","Materials",64134394
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","2017-06-21","Commercial & Professional Services",162000000
"KPO","KALINA POWER LIMITED","1971-08-02","Utilities",33165265
"KPT","KANGAROO ISLAND PLANTATION TIMBERS LTD","2002-07-08","Materials",67776431
"KRM","KINGSROSE MINING LIMITED","2007-12-07","Materials",32850331
"KRR","KING RIVER RESOURCES LIMITED","2007-09-21","Materials",40391649
"KSC","K & S CORPORATION LIMITED","1971-08-25","Transportation",212495964
"KSL","KINA SECURITIES LIMITED","2015-07-30","Banks",258242310
"KSN","KINGSTON RESOURCES LIMITED","1987-03-05","Materials",51507820
"KSS","KLEOS SPACE S.A","2018-08-24","Commercial & Professional Services",155090506
"KTA","KRAKATOA RESOURCES LIMITED","2012-12-28","Materials",20924404
"KTD","KEYTONE DAIRY CORPORATION LIMITED","2018-07-18","Food, Beverage & Tobacco",31521095
"KTG","K-TIG LIMITED","2012-11-01","Capital Goods",66798948
"KWR","KINGWEST RESOURCES LIMITED","2018-08-24","Materials",13538017
"KYK","KYCKR LIMITED","2016-09-07","Software & Services",19771367
"KZA","KAZIA THERAPEUTICS LIMITED","1994-09-01","Pharmaceuticals, Biotechnology & Life Sciences",189549659
"KZR","KALAMAZOO RESOURCES LIMITED","2017-01-16","Materials",48976223
"LAM","LARAMIDE RESOURCES LTD","2013-04-30","Energy",97750848
"LAU","LINDSAY AUSTRALIA LIMITED","1994-07-05","Transportation",114049205
"LAW","LAWFINANCE LIMITED","2000-05-12","Diversified Financials",33024299
"LBL","LASERBOND LIMITED","2007-12-17","Capital Goods",80206270
"LBT","LBT INNOVATIONS LIMITED","2006-07-31","Health Care Equipment & Services",34693820
"LBY","LAYBUY GROUP HOLDINGS LIMITED","2020-09-07","Software & Services",134864967
"LCD","LATITUDE CONSOLIDATED LIMITED","1999-12-21","Materials",42240557
"LCE","LONDON CITY EQUITIES LIMITED","1987-03-06","Diversified Financials",13605660
"LCK","LEIGH CREEK ENERGY LIMITED","2005-03-17","Energy",111714207
"LCL","LOS CERROS LIMITED","2007-10-02","Materials",87627823
"LCT","LIVING CELL TECHNOLOGIES LIMITED","2004-09-01","Pharmaceuticals, Biotechnology & Life Sciences",6285851
"LCY","LEGACY IRON ORE LIMITED","2008-07-08","Materials",96071078
"LDR","LODE RESOURCES LTD","2021-07-02","Materials",10395580
"LDX","LUMOS DIAGNOSTICS HOLDINGS LIMITED","2021-07-05","Health Care Equipment & Services",178681371
"LEG","LEGEND MINING LIMITED","1995-08-25","Materials",209390315
"LEL","LITHIUM ENERGY LIMITED","2021-05-19","Materials",46805850
"LEP","ALE PROPERTY GROUP","2003-11-12","Real Estate",961956110
"LER","LEAF RESOURCES LTD","1999-01-05","Materials",142944961
"LEX","LEFROY EXPLORATION LIMITED","1991-09-05","Materials",57707840
"LFG","LIBERTY FINANCIAL GROUP","2020-12-15","Banks",2214762000
"LFS","LATITUDE GROUP HOLDINGS LIMITED","2021-04-20","Diversified Financials",2310000000
"LGL","LYNCH GROUP HOLDINGS LIMITED","2021-04-06","Food, Beverage & Tobacco",444320648
"LGM","LEGACY MINERALS HOLDINGS LIMITED",,"Materials",0
"LGP","LITTLE GREEN PHARMA LTD","2020-02-20","Pharmaceuticals, Biotechnology & Life Sciences",176956312
"LHM","LAND & HOMES GROUP LIMITED","2004-10-05","Real Estate",13642061
"LIC","LIFESTYLE COMMUNITIES LIMITED","1998-12-15","Real Estate",2043857311
"LIN","LINDIAN RESOURCES LIMITED","2000-03-02","Materials",19446330
"LIO","LION ENERGY LIMITED","1972-02-15","Energy",12678355
"LIS","LI-S ENERGY LIMITED",,"Capital Goods",0
"LIT","LITHIUM AUSTRALIA NL","2007-10-30","Materials",115550011
"LITCF","LITHIUM AUSTRALIA NL","2007-10-30","Materials",115550011
"LKE","LAKE RESOURCES N.L.","2001-08-29","Materials",641830089
"LKO","LAKES BLUE ENERGY NL","1985-12-05","Energy","N/A"
"LKY","LOCKSLEY RESOURCES LIMITED","2021-07-08","Materials",8960000
"LLC","LENDLEASE GROUP","1962-06-30","Real Estate",8331885167
"LLO","LION ONE METALS LIMITED","2013-06-07","Materials",189209991
"LM8","LUNNON METALS LIMITED","2021-06-16","Materials",80510827
"LME","LIMEADE, INC.","2019-12-20","Software & Services",200475713
"LMG","LATROBE MAGNESIUM LIMITED","1986-12-18","Materials",24962908
"LML","LINCOLN MINERALS LIMITED","2007-03-09","Materials","N/A"
"LNK","LINK ADMINISTRATION HOLDINGS LIMITED","2015-10-27","Software & Services",2423742297
"LNU","LINIUS TECHNOLOGIES LIMITED","2011-07-26","Software & Services",66064599
"LNY","LANEWAY RESOURCES LTD","1987-04-02","Materials",17568297
"LOM","LUCAPA DIAMOND COMPANY LIMITED","2006-12-19","Materials",67134458
"LOT","LOTUS RESOURCES LIMITED","2009-02-18","Materials",248976140
"LOV","LOVISA HOLDINGS LIMITED","2014-12-18","Retailing",2062150607
"LPD","LEPIDICO LTD","1994-04-19","Materials",153802454
"LPE","LOCALITY PLANNING ENERGY HOLDINGS LIMITED","2011-10-11","Utilities",14148852
"LPI","LITHIUM POWER INTERNATIONAL LIMITED","2016-06-24","Materials",97655557
"LRK","LARK DISTILLING CO. LTD","2003-11-12","Food, Beverage & Tobacco",294035207
"LRS","LATIN RESOURCES LIMITED","2010-09-21","Materials",61407693
"LRT","LOWELL RESOURCES FUND","2018-03-22","Not Applic",40939301
"LSA","LACHLAN STAR LIMITED","1971-07-28","Materials",35602356
"LSF","L1 LONG SHORT FUND LIMITED","2018-04-24","Not Applic",1583275820
"LSH","LIFESPOT HEALTH LTD","2017-01-11","Health Care Equipment & Services",15162026
"LSR","LODESTAR MINERALS LIMITED","2007-12-21","Materials",11618436
"LSX","LION SELECTION GROUP LIMITED.","2013-03-13","Not Applic",66062159
"LTR","LIONTOWN RESOURCES LIMITED","2006-12-27","Materials",1811670108
"LV1","LIVE VERDURE LTD","2020-12-14","Food, Beverage & Tobacco",18231609
"LVE","LOVE GROUP GLOBAL LTD","2014-12-05","Software & Services",2837392
"LVH","LIVEHIRE LIMITED","2016-06-10","Software & Services",102918234
"LVT","LIVETILES LIMITED","1999-08-17","Software & Services",136858411
"LYC","LYNAS RARE EARTHS LIMITED","1986-09-11","Materials",6118323551
"LYL","LYCOPODIUM LIMITED","2004-12-17","Capital Goods",187176464
"M24","MAMBA EXPLORATION LIMITED","2021-02-05","Materials",10367167
"M2M","MT MALCOLM MINES NL",,"Materials",0
"M2R","MIRAMAR RESOURCES LIMITED","2020-10-22","Class Pend",11287321
"M3M","M3 MINING LIMITED","2021-07-29","Materials",8308126
"M7T","MACH7 TECHNOLOGIES LIMITED","2005-11-30","Health Care Equipment & Services",231846162
"M8S","M8 SUSTAINABLE LIMITED","2019-12-11","Commercial & Professional Services",10820572
"MAD","MADER GROUP LIMITED","2019-10-01","Commercial & Professional Services",228000000
"MAF","MA FINANCIAL GROUP LIMITED","2017-04-10","Diversified Financials",1210038446
"MAG","MAGMATIC RESOURCES LIMITED","2017-05-19","Materials",25421149
"MAGNB","MAGMATIC RESOURCES LIMITED","2017-05-19","Materials",25421149
"MAH","MACMAHON HOLDINGS LIMITED","1983-12-01","Materials",506421667
"MAI","MAINSTREAM GROUP HOLDINGS LIMITED","2015-10-01","Diversified Financials",381126854
"MAM","MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","2018-04-30","Diversified Financials",122006591
"MAN","MANDRAKE RESOURCES LIMITED","1987-05-29","Materials",28169584
"MAQ","MACQUARIE TELECOM GROUP LIMITED","1999-09-27","Telecommunication Services",1666038968
"MAT","MATSA RESOURCES LIMITED","2005-04-20","Materials",20772968
"MAU","MAGNETIC RESOURCES NL","2007-04-05","Materials",351259319
"MAUCA","MAGNETIC RESOURCES NL","2007-04-05","Materials",351259319
"MAX","MILLINIUM'S ALTERNATIVES FUND.","2006-12-20","Not Applic","N/A"
"MAY","MELBANA ENERGY LIMITED","1998-03-27","Energy",50970731
"MBH","MAGGIE BEER HOLDINGS LTD","2004-08-27","Food, Beverage & Tobacco",154506546
"MBK","METAL BANK LIMITED","2011-03-02","Materials",11890683
"MCA","MURRAY COD AUSTRALIA LIMITED","2011-03-30","Food, Beverage & Tobacco",186213875
"MCE","MATRIX COMPOSITES & ENGINEERING LIMITED","2009-11-16","Energy",13813393
"MCL","MIGHTY CRAFT LIMITED","2019-12-17","Food, Beverage & Tobacco",84001872
"MCM","MC MINING LIMITED","1980-04-24","Energy",19302444
"MCP","MCPHERSON'S LIMITED","1962-06-30","Household & Personal Products",142156151
"MCR","MINCOR RESOURCES NL","1997-06-16","Materials",575048234
"MCT","METALICITY LIMITED","2005-12-21","Materials",19293944
"MCX","MARINER CORPORATION LIMITED","1986-06-20","Diversified Financials",2642927
"MCY","MERCURY NZ LIMITED","2013-05-10","Utilities",8773218009
"MDC","MEDLAB CLINICAL LIMITED","2015-07-14","Pharmaceuticals, Biotechnology & Life Sciences",58169864
"MDI","MIDDLE ISLAND RESOURCES LIMITED","2010-12-16","Materials",12241822
"MDR","MEDADVISOR LIMITED","2011-05-26","Health Care Equipment & Services",118883300
"MDX","MINDAX LIMITED","2004-12-08","Materials",80536238
"MEA","MCGRATH LIMITED","2015-12-07","Real Estate",85093467
"MEB","MEDIBIO LIMITED","2001-01-29","Health Care Equipment & Services",13462961
"MEC","MORPHIC ETHICAL EQUITIES FUND LIMITED","2017-05-03","Diversified Financials",68965562
"MEG","MEGADO GOLD LIMITED","2020-10-27","Materials",6864000
"MEI","METEORIC RESOURCES NL","2004-07-16","Materials",48142495
"MEL","METGASCO LTD","2004-12-23","Energy",17589235
"MEM","MEMPHASYS LIMITED.","2007-05-14","Pharmaceuticals, Biotechnology & Life Sciences",54775719
"MEP","MINOTAUR EXPLORATION LTD","2005-02-24","Materials",52640611
"MEU","MARMOTA LIMITED","2007-11-21","Energy",40678415
"MEZ","MERIDIAN ENERGY LIMITED","2013-10-29","Utilities",12810570790
"MFB","MY FOOD BAG GROUP LIMITED","2021-03-05","Retailing",315168781
"MFD","MAYFIELD CHILDCARE LIMITED","2016-11-30","Consumer Services",35632494
"MFF","MFF CAPITAL INVESTMENTS LIMITED","2006-12-19","Not Applic",1700722800
"MFG","MAGELLAN FINANCIAL GROUP LIMITED","2004-07-01","Diversified Financials",7995028256
"MGF","MAGELLAN GLOBAL FUND.","2020-11-30","Class Pend",3110369830
"MGH","MAAS GROUP HOLDINGS LIMITED","2020-12-04","Capital Goods",1231849525
"MGL","MAGONTEC LIMITED","1983-07-07","Materials",24553347
"MGR","MIRVAC GROUP","1999-06-16","Real Estate",12340551663
"MGT","MAGNETITE MINES LIMITED.","2006-04-06","Materials",94345978
"MGU","MAGNUM MINING AND EXPLORATION LIMITED","1987-04-23","Materials",38777303
"MGV","MUSGRAVE MINERALS LIMITED","2011-04-29","Materials",178629688
"MGX","MOUNT GIBSON IRON LIMITED","1976-02-12","Materials",677148758
"MHC","MANHATTAN CORPORATION LIMITED","2008-01-29","Energy",13736508
"MHI","MERCHANT HOUSE INTERNATIONAL LIMITED","1994-10-31","Consumer Durables & Apparel",9238117
"MHJ","MICHAEL HILL INTERNATIONAL LIMITED","2016-07-07","Retailing",326159714
"MHK","METAL HAWK LIMITED.","2020-11-19","Materials",9685738
"MI6","MINERALS 260 LIMITED",,"Class Pend",0
"MIH","MNC MEDIA INVESTMENT LTD","2013-09-13","Media & Entertainment","N/A"
"MIL","MILLENNIUM SERVICES GROUP LIMITED","2015-11-19","Commercial & Professional Services",24374836
"MIN","MINERAL RESOURCES LIMITED","2006-07-28","Materials",10021880644
"MIO","MACARTHUR MINERALS LIMITED","2019-12-06","Materials",68433274
"MIR","MIRRABOOKA INVESTMENTS LIMITED","2001-06-28","Not Applic",685796108
"MKG","MAKO GOLD LIMITED","2018-04-16","Materials",34783986
"MKL","MIGHTY KINGDOM LIMITED","2021-04-21","Media & Entertainment",19718724
"MKR","MANUKA RESOURCES LTD.","2020-07-14","Materials",84173035
"MLD","MACA LIMITED","2010-11-03","Materials",290454219
"MLG","MLG OZ LIMITED","2021-05-04","Materials",131102247
"MLM","METALLICA MINERALS LIMITED","2004-11-23","Materials",17031983
"MLS","METALS AUSTRALIA LTD","1986-01-23","Materials",8454376
"MLT","MILTON CORPORATION LIMITED","1962-04-17","Not Applic",4611735690
"MLX","METALS X LIMITED","2004-08-26","Materials",272179820
"MM1","MIDAS MINERALS LTD",,"Class Pend",0
"MM8","MEDALLION METALS LIMITED.","2021-03-22","Materials",39220185
"MMC","MITRE MINING CORPORATION LIMITED",,"Materials",0
"MME","MONEYME LIMITED","2019-12-12","Diversified Financials",348023202
"MMG","MONGER GOLD LTD","2021-07-06","Materials",6580000
"MMI","METRO MINING LIMITED","2009-12-04","Materials",36727678
"MMJ","MMJ GROUP HOLDINGS LIMITED","2015-01-22","Not Applic",18626273
"MML","MEDUSA MINING LIMITED","2003-12-23","Materials",177731672
"MMM","MARLEY SPOON AG","2018-07-02","Consumer Services",527411500
"MMR","MEC RESOURCES LIMITED","2006-05-29","Energy","N/A"
"MMS","MCMILLAN SHAKESPEARE LIMITED","2004-03-15","Commercial & Professional Services",997442469
"MNB","MINBOS RESOURCES LIMITED","2010-10-18","Materials",62644441
"MND","MONADELPHOUS GROUP LIMITED","1991-03-28","Capital Goods",991879599
"MNF","MNF GROUP LIMITED","2006-05-18","Telecommunication Services",525817790
"MNS","MAGNIS ENERGY TECHNOLOGIES LTD","2005-10-25","Materials",353185127
"MNY","MONEY3 CORPORATION LIMITED","2006-10-19","Diversified Financials",745624762
"MOB","MOBILICOM LIMITED","2017-05-02","Technology Hardware & Equipment",15774899
"MOH","MOHO RESOURCES LIMITED","2018-11-07","Materials",6506350
"MOQ","MOQ LIMITED","2000-12-19","Software & Services",39064065
"MOT","METRICS INCOME OPPORTUNITIES TRUST","2019-04-29","Not Applic",359398799
"MOZ","MOSAIC BRANDS LIMITED","2000-05-11","Retailing",43981633
"MP1","MEGAPORT LIMITED","2015-12-17","Software & Services",2655715139
"MPA","MAD PAWS HOLDINGS LIMITED","2021-03-26","Retailing",38329198
"MPH","MEDILAND PHARM LIMITED","2019-02-22","Retailing",17827526
"MPL","MEDIBANK PRIVATE LIMITED","2014-11-25","Insurance",9831791567
"MPP","METRO PERFORMANCE GLASS LIMITED","2014-07-30","Capital Goods",76005015
"MPR","MPOWER GROUP LIMITED","1974-01-01","Diversified Financials",16180836
"MPX","MUSTERA PROPERTY GROUP LIMITED","2014-11-28","Real Estate",34558783
"MQG","MACQUARIE GROUP LIMITED","2007-11-05","Diversified Financials",61519704589
"MQR","MARQUEE RESOURCES LIMITED","2017-03-15","Materials",9278926
"MR1","MONTEM RESOURCES LIMITED.","2020-09-15","Class Pend",9133695
"MRC","MINERAL COMMODITIES LTD","1981-08-14","Materials",80098595
"MRD","MOUNT RIDLEY MINES LIMITED","2004-09-15","Materials",20060494
"MRG","MURRAY RIVER ORGANICS GROUP LIMITED","2016-12-16","Food, Beverage & Tobacco",8823029
"MRL","MAYUR RESOURCES LIMITED","2017-09-21","Materials",40170154
"MRM","MMA OFFSHORE LIMITED","1999-06-21","Energy",127561524
"MRQ","MRG METALS LIMITED","2011-06-08","Materials",13866029
"MRR","MINREX RESOURCES LIMITED","2011-11-11","Materials",8372056
"MRZ","MONT ROYAL RESOURCES LIMITED","2019-05-07","Materials",12499316
"MSB","MESOBLAST LIMITED","2004-12-16","Pharmaceuticals, Biotechnology & Life Sciences",1018452830
"MSG","MCS SERVICES LIMITED","2012-01-17","Commercial & Professional Services",12480395
"MSI","MULTISTACK INTERNATIONAL LIMITED","1993-02-11","Capital Goods",5502892
"MSL","MSL SOLUTIONS LIMITED.","2017-05-04","Software & Services",81433700
"MSM","MSM CORPORATION INTERNATIONAL LTD","1996-11-20","Media & Entertainment","N/A"
"MSV","MITCHELL SERVICES LIMITED","2011-08-02","Materials",95989050
"MTB","MOUNT BURGESS MINING NL","1985-09-05","Materials",4555027
"MTC","METALSTECH LIMITED","2017-02-24","Materials",39669410
"MTH","MITHRIL RESOURCES LIMITED","2002-11-18","Materials",39953962
"MTM","MT MONGER RESOURCES LIMITED","2021-07-15","Materials",8375250
"MTO","MOTORCYCLE HOLDINGS LIMITED","2016-04-29","Retailing",206717479
"MTR","METAL TIGER PLC","2021-05-27","Materials",84194041
"MTS","METCASH LIMITED","2005-04-08","Food & Staples Retailing",3842855576
"MVF","MONASH IVF GROUP LIMITED","2014-06-26","Health Care Equipment & Services",389634840
"MVL","MARVEL GOLD LIMITED","2016-06-14","Materials",32999170
"MVP","MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED","2003-12-15","Pharmaceuticals, Biotechnology & Life Sciences",256552819
"MWY","MIDWAY LIMITED","2016-12-08","Materials",94323120
"MX1","MICRO-X LIMITED","2015-12-22","Health Care Equipment & Services",128716487
"MXC","MGC PHARMACEUTICALS LTD","2006-12-21","Pharmaceuticals, Biotechnology & Life Sciences",112068050
"MXCND","MGC PHARMACEUTICALS LTD","2006-12-21","Pharmaceuticals, Biotechnology & Life Sciences",112068050
"MXO","MOTIO LTD","2011-05-09","Media & Entertainment",19658844
"MXR","MAXIMUS RESOURCES LIMITED","2005-10-26","Materials",12222343
"MXT","METRICS MASTER INCOME TRUST","2017-10-09","Not Applic",1522939237
"MYD","MYDEAL.COM.AU LIMITED","2020-10-22","Retailing",200591162
"MYE","MASTERMYNE GROUP LIMITED","2010-05-07","Materials",103117589
"MYG","MAYFIELD GROUP HOLDINGS LIMITED","1986-10-30","Capital Goods",33373782
"MYL","MYANMAR METALS LIMITED","2007-12-03","Materials","N/A"
"MYR","MYER HOLDINGS LIMITED","2009-11-02","Retailing",439384166
"MYS","MYSTATE LIMITED","2009-09-10","Banks",548548792
"MYX","MAYNE PHARMA GROUP LIMITED","2007-06-29","Pharmaceuticals, Biotechnology & Life Sciences",582397450
"MZZ","MATADOR MINING LIMITED","2017-03-08","Materials",87312135
"N1H","N1 HOLDINGS LIMITED","2016-03-18","Banks",8155557
"NAB","NATIONAL AUSTRALIA BANK LIMITED","1962-01-31","Banks",93310629199
"NAC","NAOS EX-50 OPPORTUNITIES COMPANY LIMITED","2014-11-12","Not Applic",53557211
"NAE","NEW AGE EXPLORATION LIMITED","1994-02-18","Energy",15794888
"NAG","NAGAMBIE RESOURCES LIMITED","2006-06-23","Materials",39994588
"NAM","NAMOI COTTON LIMITED","1998-04-06","Commercial & Professional Services",68709136
"NAN","NANOSONICS LIMITED","2007-05-17","Health Care Equipment & Services",1992929674
"NBI","NB GLOBAL CORPORATE INCOME TRUST","2018-09-26","Not Applic",843421612
"NC6","NANOLLOSE LIMITED","2017-10-18","Pharmaceuticals, Biotechnology & Life Sciences",14422578
"NCC","NAOS EMERGING OPPORTUNITIES COMPANY LIMITED","2013-02-26","Not Applic",84625264
"NCK","NICK SCALI LIMITED","2004-05-26","Retailing",1001160000
"NCL","NETCCENTRIC LIMITED","2015-07-06","Media & Entertainment",38206574
"NCM","NEWCREST MINING LIMITED","1987-06-04","Materials",20530317063
"NCR","NUCOAL RESOURCES LIMITED","1996-05-31","Materials",6148899
"NCZ","NEW CENTURY RESOURCES LIMITED","2010-12-08","Materials",199638128
"NEA","NEARMAP LTD","2000-12-07","Software & Services",1044706883
"NEC","NINE ENTERTAINMENT CO. HOLDINGS LIMITED","2013-12-06","Media & Entertainment",4672777513
"NES","NELSON RESOURCES LIMITED.","2017-12-07","Materials",8937441
"NET","NETLINKZ LIMITED","2011-01-13","Software & Services",77559848
"NEU","NEUREN PHARMACEUTICALS LIMITED","2005-02-03","Pharmaceuticals, Biotechnology & Life Sciences",265794324
"NEW","NEW ENERGY SOLAR LIMITED","2017-12-04","Utilities",287721813
"NGE","NGE CAPITAL LIMITED","2007-12-28","Not Applic",24436581
"NGI","NAVIGATOR GLOBAL INVESTMENTS LIMITED","2006-04-28","Diversified Financials",372916854
"NGS","NUTRITIONAL GROWTH SOLUTIONS LTD","2020-10-30","Household & Personal Products",20860137
"NGY","NUENERGY GAS LIMITED","1987-01-15","Energy",42947709
"NHC","NEW HOPE CORPORATION LIMITED","2003-09-16","Energy",1772920585
"NHF","NIB HOLDINGS LIMITED","2007-11-05","Insurance",3103492136
"NIC","NICKEL MINES LIMITED","2018-08-20","Materials",2527604196
"NKL","NICKELX LIMITED","2021-05-07","Materials",15435001
"NME","NEX METALS EXPLORATION LIMITED","2007-12-06","Materials",10146898
"NML","NAVARRE MINERALS LIMITED","2011-03-31","Materials",62817494
"NMR","NATIVE MINERAL RESOURCES HOLDINGS LIMITED","2020-11-16","Materials",21322125
"NMT","NEOMETALS LTD","2002-07-10","Materials",383863477
"NNG","NEXION GROUP LTD","2021-02-18","Software & Services",26153963
"NOL","NOBLEOAK LIFE LIMITED","2021-07-22","Insurance",198505223
"NOR","NORWOOD SYSTEMS LIMITED","1995-06-27","Software & Services",3945073
"NOV","NOVATTI GROUP LIMITED","2016-01-18","Software & Services",164985429
"NOX","NOXOPHARM LIMITED","2016-08-09","Pharmaceuticals, Biotechnology & Life Sciences",155669307
"NPM","NEWPEAK METALS LIMITED","2011-04-11","Materials",13654870
"NRX","NORONEX LIMITED","2017-11-15","Materials",21223255
"NSB","NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD","2018-07-27","Pharmaceuticals, Biotechnology & Life Sciences",44476209
"NSC","NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED","2004-03-25","Not Applic",143777677
"NSE","NEW STANDARD ENERGY LIMITED","2007-08-15","Energy","N/A"
"NSM","NORTH STAWELL MINERALS LTD","2020-09-24","Class Pend",38400000
"NSR","NATIONAL STORAGE REIT","2013-12-19","Real Estate",2768383940
"NST","NORTHERN STAR RESOURCES LTD","2003-12-17","Materials",11526095790
"NSX","NSX LIMITED","2005-01-13","Diversified Financials",29674373
"NTD","NATIONAL TYRE & WHEEL LIMITED","2017-12-15","Retailing",148583322
"NTI","NEUROTECH INTERNATIONAL LIMITED","2016-11-04","Health Care Equipment & Services",31356861
"NTL","NEW TALISMAN GOLD MINES LIMITED","1987-05-28","Materials",6980563
"NTO","NITRO SOFTWARE LIMITED","2019-12-11","Software & Services",647896854
"NTU","NORTHERN MINERALS LIMITED","2006-11-15","Materials",213226920
"NUC","NUCHEV LIMITED","2019-12-09","Food, Beverage & Tobacco",28976863
"NUF","NUFARM LIMITED","1988-11-10","Materials",1690586666
"NUH","NUHEARA LIMITED","2010-03-05","Technology Hardware & Equipment",53499899
"NUS","NUSANTARA RESOURCES LIMITED","2017-08-02","Materials",79927187
"NVA","NOVA MINERALS LIMITED","1987-06-11","Materials",201713598
"NVU","NANOVEU LIMITED","2018-11-30","Technology Hardware & Equipment",7745280
"NVX","NOVONIX LIMITED","2015-12-02","Technology Hardware & Equipment",1942086643
"NWC","NEW WORLD RESOURCES LIMITED","2005-09-21","Materials",112643252
"NWE","NORWEST ENERGY NL","1997-09-19","Energy",46075248
"NWF","NEWFIELD RESOURCES LIMITED","2012-06-08","Materials",273210789
"NWH","NRW HOLDINGS LIMITED","2007-09-05","Capital Goods",873945716
"NWL","NETWEALTH GROUP LIMITED","2017-11-20","Diversified Financials",3810635545
"NWM","NORWEST MINERALS LIMITED","2018-11-29","Materials",13184331
"NWS","NEWS CORPORATION..","2013-06-19","Media & Entertainment",17998334557
"NWSLV","NEWS CORPORATION..","2013-06-19","Media & Entertainment",17998334557
"NXE",,"2002-05-10","Materials",
"NXG","NEXGEN ENERGY (CANADA) LTD","2021-07-02","Energy",3061428548
"NXL","NUIX LIMITED","2020-12-04","Software & Services",850403648
"NXM","NEXUS MINERALS LIMITED","2007-02-23","Materials",36622751
"NXS","NEXT SCIENCE LIMITED","2019-04-18","Health Care Equipment & Services",271224255
"NXT","NEXTDC LIMITED","2010-12-13","Software & Services",6091909392
"NYR","NYRADA INC.","2020-01-16","Pharmaceuticals, Biotechnology & Life Sciences",45242523
"NZK","NEW ZEALAND KING SALMON INVESTMENTS LIMITED","2016-10-19","Food, Beverage & Tobacco",188325535
"NZM","NZME LIMITED","2016-06-27","Media & Entertainment",186703708
"NZO","NEW ZEALAND OIL & GAS LIMITED","2020-09-25","Energy",67139487
"NZS","NEW ZEALAND COASTAL SEAFOODS LIMITED","2007-06-19","Food, Beverage & Tobacco",9924060
"OAK","OAKRIDGE INTERNATIONAL LIMITED","2007-06-22","Software & Services",5158939
"OAR","OAR RESOURCES LIMITED","1998-12-17","Materials",26103906
"OAU","ORA GOLD LIMITED","2001-03-22","Materials",15157714
"OBL","OMNI BRIDGEWAY LIMITED","2000-01-28","Diversified Financials",1107619932
"OBM","ORA BANDA MINING LTD","2002-10-29","Materials",97373451
"OCA","OCEANIA HEALTHCARE LIMITED","2017-05-05","Health Care Equipment & Services",1066849975
"OCC","ORTHOCELL LIMITED","2014-08-12","Pharmaceuticals, Biotechnology & Life Sciences",86942819
"OCL","OBJECTIVE CORPORATION LIMITED","2000-08-17","Software & Services",1861518890
"ODA","ORCODA LIMITED","1986-09-15","Software & Services",24352836
"ODM","ODIN METALS LIMITED","2010-08-05","Materials",12124953
"ODY","ODYSSEY GOLD LTD","2005-11-30","Materials",58171393
"OEC","ORBITAL CORPORATION LIMITED","1989-01-24","Capital Goods",46739416
"OEL","OTTO ENERGY LIMITED","2004-12-22","Energy",43155088
"OEQ","ORION EQUITIES LIMITED","1970-11-19","Diversified Financials",5007753
"OEX","OILEX LTD","2003-10-24","Energy",17065291
"OFX","OFX GROUP LIMITED","2013-10-11","Diversified Financials",413717764
"OGA","OCEAN GROWN ABALONE LIMITED","2017-11-14","Food, Beverage & Tobacco",15858680
"OGC","OCEANAGOLD CORPORATION","2007-06-19","Materials",1801792087
"OIL","OPTISCAN IMAGING LIMITED","1997-08-08","Health Care Equipment & Services",138804885
"OKJ","OAKAJEE CORPORATION LIMITED","2008-06-11","Materials",5943992
"OKR","OKAPI RESOURCES LIMITED","2017-09-28","Materials",48617628
"OKU","OKLO RESOURCES LIMITED","2007-05-16","Materials",60483577
"OLH","OLDFIELDS HOLDINGS LIMITED","1960-06-15","Capital Goods",11068631
"OLI","OLIVER'S REAL FOOD LIMITED","2017-06-21","Consumer Services","N/A"
"OLL","OPENLEARNING LIMITED","2019-12-12","Software & Services",22963495
"OMH","OM HOLDINGS LIMITED","1998-03-12","Materials",590898670
"OML","OOH!MEDIA LIMITED","2014-12-17","Media & Entertainment",1083549030
"ONE","ONEVIEW HEALTHCARE PLC","2016-03-17","Health Care Equipment & Services",166807122
"ONT","1300 SMILES LIMITED","2005-03-11","Health Care Equipment & Services",189427072
"ONX","ORMINEX LTD","1971-07-28","Materials","N/A"
"OOK","OOKAMI LIMITED","2000-02-21","Materials",10300047
